FILE_NAME=Trajectory_StowToL4.csv,T=0.4,dt=0.001,h0=0.0,hf=0.7,theta0_deg=-93.0,thetaf_deg=-235.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.2,penalty_strength=1000000.0
time,height,angle_deg,dh,dtheta_rad_s
1.740000000000000158e-01,4.666613937245014943e-01,-1.334126375843067080e+02,2.177392694362310088e+00,-9.690485099536177316e+00
1.750000000000000167e-01,4.688387864188638399e-01,-1.339678614819445386e+02,2.166140591239699376e+00,-9.726324943600129558e+00
1.759999999999999898e-01,4.710049270101035468e-01,-1.345251388513856625e+02,2.154902944890974226e+00,-9.761465100108104309e+00
1.769999999999999907e-01,4.731598299549945041e-01,-1.350844296034861145e+02,2.143679754192369558e+00,-9.795905572574119091e+00
1.779999999999999916e-01,4.753035097091868888e-01,-1.356456936493032970e+02,2.132471018021566245e+00,-9.829646364442218953e+00
1.789999999999999925e-01,4.774359807272084422e-01,-1.362088909000919443e+02,2.121276735257690671e+00,-9.862687479086483577e+00
1.799999999999999933e-01,4.795572574624661355e-01,-1.367739812673001154e+02,2.110096904781315175e+00,-9.895028919811025503e+00
1.809999999999999942e-01,4.816673543672474467e-01,-1.373409246625651576e+02,2.098931525474455828e+00,-9.926670689849988349e+00
1.819999999999999951e-01,4.837662858927218590e-01,-1.379096809977098133e+02,2.087780596220575546e+00,-9.957612792367550369e+00
1.829999999999999960e-01,4.858540664889424709e-01,-1.384802101847379276e+02,2.076644115904580534e+00,-9.987855230457919120e+00
1.839999999999999969e-01,4.879307106048470510e-01,-1.390524721358308398e+02,2.065522083412823395e+00,-1.001739800714534034e+01
1.849999999999999978e-01,4.899962326882599251e-01,-1.396264267633430052e+02,2.054414497633100467e+00,-1.004624112538408909e+01
1.859999999999999987e-01,4.920506471858930309e-01,-1.402020339797982729e+02,2.043321357454653597e+00,-1.007438458805848214e+01
1.869999999999999996e-01,4.940939685433476392e-01,-1.407792536978856504e+02,2.032242661768168368e+00,-1.010182839798286203e+01
1.880000000000000004e-01,4.961262112051157969e-01,-1.413580458304554668e+02,2.021178409465775427e+00,-1.012857255790160949e+01
1.890000000000000013e-01,4.981473896145816038e-01,-1.419383702905152802e+02,2.010128599441049602e+00,-1.015461707048914342e+01
1.900000000000000022e-01,5.001575182140226561e-01,-1.425201869912258132e+02,1.999093230589009895e+00,-1.017996193834991381e+01
1.910000000000000031e-01,5.021566114446116558e-01,-1.431034558458970594e+02,1.988072301806119269e+00,-1.020460716401840529e+01
1.920000000000000040e-01,5.041446837464178543e-01,-1.436881367679843038e+02,1.977065811990284860e+00,-1.022855274995914243e+01
1.930000000000000049e-01,5.061217495584081627e-01,-1.442741896710838887e+02,1.966073760040857765e+00,-1.025179869856668446e+01
1.940000000000000058e-01,5.080878233184490389e-01,-1.448615744689294615e+02,1.955096144858632812e+00,-1.027434501216562346e+01
