FILE_NAME=Trajectory_L4ToStow.csv,T=0.54,dt=0.001,h0=0.7,hf=0.0,theta0_deg=-235.0,thetaf_deg=-93.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.3,penalty_strength=100000000.0
time,height,angle_deg,dh,dtheta_rad_s
2.949999999999999845e-01,5.976471244966731211e-01,-1.275611424979162365e+02,-1.385235113681229091e+00,7.456952249464658067e+00
2.959999999999999853e-01,5.962618893829919609e-01,-1.271338906059913256e+02,-1.396941641830004022e+00,7.428349937317229035e+00
2.969999999999999862e-01,5.948649477411618314e-01,-1.267082775058367758e+02,-1.408695621763540684e+00,7.399383552037346767e+00
2.979999999999999871e-01,5.934562521193983420e-01,-1.262843240573065060e+02,-1.420497054657237523e+00,7.370053090728372780e+00
2.989999999999999880e-01,5.920357550647411538e-01,-1.258620511204204320e+02,-1.432345941691237412e+00,7.340358550457261266e+00
2.999999999999999889e-01,5.906034091230498717e-01,-1.254414795553664561e+02,-1.444242284050429426e+00,7.310299928254557322e+00
3.009999999999999898e-01,5.891591668389993819e-01,-1.250226302225026700e+02,-1.456186082924447511e+00,7.279877221114399610e+00
3.019999999999999907e-01,5.877029807560748553e-01,-1.246055239823593865e+02,-1.468177339507671819e+00,7.249090425994516806e+00
3.029999999999999916e-01,5.862348034165671962e-01,-1.241901816956412148e+02,-1.480216054999227593e+00,7.217939539816230266e+00
3.039999999999999925e-01,5.847545873615680456e-01,-1.237766242232291347e+02,-1.492302230602986945e+00,7.186424559464450468e+00
3.049999999999999933e-01,5.832622851309650081e-01,-1.233648724261826573e+02,-1.504435867527567083e+00,7.154545481787678796e+00
3.059999999999999942e-01,5.817578492634374321e-01,-1.229549471657418422e+02,-1.516616966986331638e+00,7.122302303598009310e+00
3.069999999999999951e-01,5.802412322964510816e-01,-1.225468693033293732e+02,-1.528845530197390667e+00,7.089695021671122532e+00
3.079999999999999960e-01,5.787123867662535837e-01,-1.221406597005527033e+02,-1.541121558383600654e+00,7.056723632746291663e+00
3.089999999999999969e-01,5.771712652078699879e-01,-1.217363392192061013e+02,-1.553445052772564283e+00,7.023388133526377253e+00
3.099999999999999978e-01,5.756178201550974372e-01,-1.213339287212727697e+02,-1.565816014596630890e+00,6.989688520677829864e+00
3.109999999999999987e-01,5.740520041405007268e-01,-1.209334490689269046e+02,-1.578234445092896676e+00,6.955624790830686521e+00
3.119999999999999996e-01,5.724737696954079746e-01,-1.205349211245357424e+02,-1.590700345503204938e+00,6.921196940578575152e+00
3.130000000000000004e-01,5.708830693499047371e-01,-1.201383657506617482e+02,-1.603213717074145395e+00,6.886404966478711032e+00
3.140000000000000013e-01,5.692798556328305670e-01,-1.197438038100645912e+02,-1.615774561057055303e+00,6.851248865051896786e+00
3.150000000000000022e-01,5.676640810717735741e-01,-1.193512561657033189e+02,-1.628382878708019232e+00,6.815728632782522389e+00
3.160000000000000031e-01,5.660356981930655396e-01,-1.189607436807384033e+02,-1.641038671287868844e+00,6.779844266118564278e+00
3.170000000000000040e-01,5.643946595217776974e-01,-1.185722872185338446e+02,-1.653741940062183335e+00,6.743595761471586236e+00
3.180000000000000049e-01,5.627409175817154052e-01,-1.181859076426592168e+02,-1.666492686301289439e+00,6.706983115216737623e+00
3.190000000000000058e-01,5.610744248954142588e-01,-1.178016258168918000e+02,-1.679290911280262089e+00,6.670006323692753369e+00
3.200000000000000067e-01,5.593951339841338743e-01,-1.174194626052186265e+02,-1.692136616278923755e+00,6.632665383201953979e+00
3.210000000000000075e-01,5.577029973678550023e-01,-1.170394388718386267e+02,-1.705029802581844889e+00,6.594960290010245529e+00
3.220000000000000084e-01,5.559979675652731990e-01,-1.166615754811646610e+02,-1.717970471478343919e+00,6.556891040347120558e+00
3.230000000000000093e-01,5.542799970937949405e-01,-1.162858932978256234e+02,-1.730958624262487922e+00,6.518457630405651848e+00
3.240000000000000102e-01,5.525490384695324053e-01,-1.159124131866685445e+02,-1.743994262233092174e+00,6.479660056342499530e+00
3.250000000000000111e-01,5.508050442072993658e-01,-1.155411560127606236e+02,-1.757077386693720378e+00,6.440498314277905756e+00
3.260000000000000120e-01,5.490479668206056374e-01,-1.151721426413913747e+02,-1.770207998952685102e+00,6.400972400295696474e+00
3.270000000000000129e-01,5.472777588216529709e-01,-1.148053939380747153e+02,-1.783386100323047563e+00,6.361082310443279653e+00
3.280000000000000138e-01,5.454943727213299454e-01,-1.144409307685509845e+02,-1.796611692122617621e+00,6.320828040731647945e+00
3.290000000000000147e-01,5.436977610292071939e-01,-1.140787739987891314e+02,-1.809884775673954893e+00,6.280209587135372473e+00
3.300000000000000155e-01,5.418878762535332960e-01,-1.137189444949886621e+02,-1.823205352304367421e+00,6.239226945592609042e+00
3.310000000000000164e-01,5.400646709012290048e-01,-1.133614631235819132e+02,-1.836573423345913003e+00,6.197880112005093700e+00
3.320000000000000173e-01,5.382280974778830274e-01,-1.130063507512359422e+02,-1.849988990135398748e+00,6.156169082238141854e+00
3.330000000000000182e-01,5.363781084877475847e-01,-1.126536282448547865e+02,-1.863452054014381298e+00,6.114093852120652706e+00
3.340000000000000191e-01,5.345146564337333039e-01,-1.123033164715813825e+02,-1.876962616329167055e+00,6.071654417445100371e+00
3.350000000000000200e-01,5.326376938174041120e-01,-1.119554362987998246e+02,-1.890520678430811952e+00,6.028850773967543653e+00
3.360000000000000209e-01,5.307471731389732383e-01,-1.116100085941373123e+02,-1.904126241675122788e+00,5.985682917407617154e+00
3.370000000000000218e-01,5.288430468972981080e-01,-1.112670542254662962e+02,-1.917779307422655455e+00,5.942150843448535724e+00
3.380000000000000226e-01,5.269252675898754568e-01,-1.109265940609065950e+02,-1.931479877038716708e+00,5.898254547737092679e+00
3.390000000000000235e-01,5.249937877128367791e-01,-1.105886489688274139e+02,-1.945227951893363283e+00,5.853994025883656249e+00
3.400000000000000244e-01,5.230485597609433324e-01,-1.102532398178494759e+02,-1.959023533361403002e+00,5.809369273462175798e+00
3.410000000000000253e-01,5.210895362275819176e-01,-1.099203874768471110e+02,-1.972866622822393667e+00,5.764380286010175602e+00
3.420000000000000262e-01,5.191166696047595508e-01,-1.095901128149503165e+02,-1.986757221660644612e+00,5.719027059028756632e+00
